school_id,Potential_School_Name_transliterated,Assigned_District_Name
686,cholA~Na prA vi,bagalu~na
687,pANDavakhAnI mA vi,bagalu~na
688,janaka ni mA viA vi,bagalu~na
689,barAhathAna prA vi,bagalu~na
690,hari u mA vi,bagalu~na
691,mahAvidyAjana mA vi,bagalu~na
692,janatA prA vi,bagalu~na
693,deurAlI A vi,bagalu~na
694,buddha mA vi,bagalu~na
695,shAntI umA vi,bagalu~na
696,vAla kalyANa prA vi,bagalu~na
697,bhairava mA vi,bagalu~na
698,prajAtantra prA vi,bagalu~na
699,shAradA prA vi,bagalu~na
700,janajAgRRiti A vi,kaski
701,janajAgRRitI mA vi,bagalu~na
702,janatA prA vi,bagalu~na
703,prabhAta janatA A vi,purva navalaparasi
704,amarajyotI mA vi,purva navalaparasi
705,kAlikA mA vi,purva navalaparasi
706,siddha mA vi,bagalu~na
707,ratnalakShmI mA vi,bagalu~na
708,kAlikA kanyA mA vi,bagalu~na
709,annapurNa A vi,musta~na
710,mAlikA A vi,bagalu~na
711,laharepipala mA vi,bagalu~na
712,vidyAmandira mA vi,bagalu~na
713,janakalyANA prA vi,bagalu~na
714,jyotipuNja prA vi,bagalu~na
715,shitalapATI A vi,bagalu~na
716,himagaMgA A vi,khota~na
717,kRRiShNa mA vi,khota~na
718,mohana namunA mA vi,siraha
719,janatA A vi,sunasari
720,janatA mA vi,khota~na
721,sarasvatI bAlakalyANa prA vi,da~nga
722,prA vi,da~nga
723,gaMgA mA vi,da~nga
724,phaijAne mustaphA prA vi,da~nga
725,shrI pratApakoTa prA vi,da~nga
726,prA vi,da~nga
727,Adarsha A vi,da~nga
728,shrI u mA vi,da~nga
729,gudela u mA vi,solukhumbu
730,shaMkheshvarI mA vi,khota~na
731,rAmcheniketana mA vi,khota~na
732,koTeshvara sarasvatI mA vi,kathamadaum
