school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
146,"Adarsha Basic School Chhathar-4, Tehrathum.",Phakchamara,4,766,Chhathar Rural Municipality,13,Tehrathum,1,Koshi Province,Adarsha Basic School Chhathar,Adarsha Pra V,
147,"Adarsha Basic School,","SURYODAYA MUN.-08, KOSHI PROVINCE, ILAM",8,251,Suryodaya Municipality,3,Ilam,1,Koshi Province,Adarsha Basic School,Adarsha Adhar V,
148,Adarsha Buddha Basic School,Bhalukhop,1,246,Mai Municipality,3,Ilam,1,Koshi Province,Adarsha Buddha Adharbhut Bidhyalaya,Adrasha Buddha Pra V,
149,Adarsha Buddha Pra V,Bhalukhop,9,246,Mai Municipality,3,Ilam,1,Koshi Province,,,
150,Adarsha Ebs,Harinagar,7,721,Harinagar Rural Municipality,11,Sunsari,1,Koshi Province,,,
151,Adarsha English School,Kanepokhari Rural Municipality,7,411,Kanepokhari Rural Municipality,6,Morang,1,Koshi Province,,,
152,Adarsha Janata Pra V,Jhapa ga. pa,6,268,Jhapa Rural Municipality,4,Jhapa,1,Koshi Province,,,
153,Adarsha Ma  V,Adarsh Tole,7,417,Rangeli Municipality,6,Morang,1,Koshi Province,Adarsha Adhar V,,
154,Adarsha Ma V,Tatuwamari,2,266,Gauriganj Rural Municipality,4,Jhapa,1,Koshi Province,,,
155,Adarsha Ma Vi.,Sahid Marg,7,406,Biratnagar Metropolitan City,6,Morang,1,Koshi Province,Adarsha Ma V,,
156,Adarsha Milan Pra V,Ramailo Danda,3,711,Nechasalyan Rural Municipality,10,Solukhumbu,1,Koshi Province,,,
157,Adarsha Namuna English Boarding School,Anjanaimode,7,261,Bhadrapur Municipality,4,Jhapa,1,Koshi Province,Adarsa Namuna Ebs,,
158,Adarsha Niketen English School,Bishnetar,8,246,Mai Municipality,3,Ilam,1,Koshi Province,Adarsha Niketen Ebs,,
159,Adarsha Pra V,Harira,3,266,Gauriganj Rural Municipality,4,Jhapa,1,Koshi Province,,,
160,Adarsha Pra V,Aadarsha Tol,2,269,Kachankawal Rural Municipality,4,Jhapa,1,Koshi Province,,,
161,Adarsha Pra V,Tribhuvan Tole,13,406,Biratnagar Metropolitan City,6,Morang,1,Koshi Province,,,
162,Adarsha Pra V,Sundarharaincha,4,419,Sundarharaincha Municipality,6,Morang,1,Koshi Province,,,
163,Adarsha Pra V,Myanglung,5,769,Myanglung Municipality,13,Tehrathum,1,Koshi Province,,,
164,Adarsha Prathamik Bidhyalaya,Bhaishabari,3,261,Bhadrapur Municipality,4,Jhapa,1,Koshi Province,Adarsha Pra V,,
165,Adarsha Secondary  Bidya Mandir Ratmate Pathakgaun,Pathakgaun,8,624,Khandbari Municipality,9,Sankhuwasabha,1,Koshi Province,Adarsha Secondary  Bidya Mandir Pathakgaun,Adarsha Bidya Mandir Ma V Pathakgaun,Adarsha Bidya Mandir Ma V
166,Adarsha Secondary School,khejenim,2,760,Phaktanglung Rural Municipality,12,Taplejung,1,Koshi Province,Adarsha Ma V,,
167,Adarsha Secondary School,Suntalabari,7,245,Ilam Municipality,3,Ilam,1,Koshi Province,Adarsha Ma V,,
168,Adarsha Secondary School,Aayabari,8,272,Mechinagar Municipality,4,Jhapa,1,Koshi Province,Adarsha Ma V,,
169,Adarsha secondary school,"Saphaidhap,Dhankuta",1,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,"Adarsha secondary school,sahidbhumi- 1  Saphai Dhap dhankuta",Adarsha Uchha Ma V,
