school_id,school,school_1,School_level,School_name,Location,Matched_district,Match_percent,Location_1
116,"सरस्वती आधारभूत विद्यालय भानु न॰पा, तनहुँ",सरस्वती आवि भानु न पा तनहुँँ,आवि,सरस्वती,भानु न पा तनहुँ,तनहुँ,100,भानु न पा
117,"जिवनज्याेति आधारभूत विद्यालय, भरतपुर, चितवन",जिवनज्याेति आवि भरतपुर चितवन,आवि,जिवनज्याेति,भरतपुर चितवन,चितवन,100,भरतपुर
118,"दुर्गा शेषकान्त अधिकारी माध्यमिक विद्यालय, विजयनगर, चितवन",दुर्गा शेषकान्त अधिकारी मावि विजयनगर चितवन,मावि,दुर्गा शेषकान्त अधिकारी,विजयनगर चितवन,चितवन,100,विजयनगर
119,महेन्द्र ज्योती माध्यमिक विद्यालय तनहुँ,महेन्द्र ज्योती मावि तनहुँँ,मावि,महेन्द्र ज्योती,तनहुँ,तनहुँ,100,
120,"कृष्ण माध्यमिक विद्यालय घिरिङ, तनहुँ",कृष्ण मावि घिरिङ तनहुँँ,मावि,कृष्ण,घिरिङ तनहुँ,तनहुँ,100,घिरिङ
121,"गुदी फच्याङ आधारभूत विद्यालय, तनहुँ",गुदी फच्याङ आवि तनहुँँ,आवि,गुदी फच्याङ,तनहुँ,तनहुँ,100,
122,"माहेन्द्री माध्यमिक विद्यालय व्यास, तनहुँ",माहेन्द्री मावि व्यास तनहुँँ,मावि,माहेन्द्री,व्यास तनहुँ,तनहुँ,100,व्यास
123,"बाराही प्राथमिक विद्यालय ऋषिङ गा॰पा॰, तनहुँ",बाराही प्रावि ऋषिङ गा पा तनहुँँ,प्रावि,बाराही,ऋषिङ गा पा तनहुँ,तनहुँ,100,ऋषिङ गा पा
124,"दिपक मा बि, तनहु",दिपक मावि तनहुँ,मावि,दिपक,तनहुँ,तनहुँ,100,
125,कुस्मावती प्राथमिक विद्यालय तनहुँ,कुस्मावती प्रावि तनहुँँ,प्रावि,कुस्मावती,तनहुँ,तनहुँ,100,
126,"कृष्ण गण्डकी प्राथमिक विद्यालय, बेलस्वाँरा, तनहुँ",कृष्ण गण्डकी प्रावि बेलस्वाँरा तनहुँँ,प्रावि,कृष्ण गण्डकी,बेलस्वाँरा तनहुँ,तनहुँ,100,बेलस्वाँरा
127,"श्री आधारभूत विद्यालय सिसावास, पर्साबजार, चितवन",श्री आवि सिसावास पर्साबजार चितवन,आवि,श्री,सिसावास पर्सा चितवन,पर्सा,100,सिसावास  चितवन
128,कालिगण्डकी प्रा वि,कालिगण्डकी प्रावि,प्रावि,कालिगण्डकी,,,0,
129,"अरनिको उ॰ माध्यमिक विधालय मिर्लुङ, तनहुँ",अरनिको मावि मिर्लुङ तनहुँँ,मावि,अरनिको,मिर्लुङ तनहुँ,तनहुँ,100,मिर्लुङ
130,"मुकुन्देश्वरी प्रा वि, तनहु",मुकुन्देश्वरी प्रावि तनहुँ,प्रावि,मुकुन्देश्वरी,तनहुँ,तनहुँ,100,
131,जनता प्राथमिक विधालय व्यास तनुहुँ,जनता प्रावि व्यास तनहुँ,प्रावि,जनता,व्यास तनहुँ,तनहुँ,100,व्यास
132,नवदुर्गा माध्यमिक विधालय रामपुर पाल्पा,नवदुर्गा मावि रामपुर पाल्पा,मावि,नवदुर्गा,रामपुर पाल्पा,पाल्पा,100,रामपुर
133,"चन्द्रज्योती मा बि, तनहु",चन्द्रज्योती मावि तनहुँ,मावि,चन्द्रज्योती,तनहुँ,तनहुँ,100,
134,"चन्द्र ज्योती माध्यमिक विद्यालय, तनहुँ",चन्द्र ज्योती मावि तनहुँँ,मावि,चन्द्र ज्योती,तनहुँ,तनहुँ,100,
135,"संगम माध्यमिक विद्यालय अन्पूर्ण गा॰पा, कास्की",संगम मावि अन्पूर्ण गा पा कास्की,मावि,संगम,अन्पूर्ण गा पा कास्की,कास्की,100,अन्पूर्ण गा पा
136,"पोखरी प्रा॰वि॰, इलाम",पोखरी प्रावि इलाम,प्रावि,पोखरी,इलाम,इलाम,100,
137,"आदर्श माध्यमिक विद्यालय, सानोठिमी, भक्तपुर",आदर्श मावि सानोठिमी भक्तपुर,मावि,आदर्श,सानोठिमी भक्तपुर,भक्तपुर,100,सानोठिमी
138,"बालमण्डल माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम",बालमण्डल मावि इलाम न पा इलाम,मावि,बालमण्डल,इलाम न पा इलाम,इलाम,100,न पा
139,"श्री कालिका देवी प्राथमिक विद्यालय, आमचोक, रातमाटे।इलाम",श्री कालिका देवी प्रावि आमचोक रातमाटे इलाम,प्रावि,श्री कालिका देवी,आमचोक रातमाटे इलाम,इलाम,100,आमचोक रातमाटे
140,सुभद्रा प्राथमिक विधालय फाकफोक इलाम,सुभद्रा प्रावि फाकफोक इलाम,प्रावि,सुभद्रा,फाकफोक इलाम,इलाम,100,फाकफोक
141,"नवीनप्रगती प्रा॰वि॰, इलाम",नवीनप्रगती प्रावि इलाम,प्रावि,नवीनप्रगती,इलाम,इलाम,100,
142,"जनशक्ति प्रा॰ वी॰, तनहु",जनशक्ति प्रावि तनहुँ,प्रावि,जनशक्ति,तनहुँ,तनहुँ,100,
143,"लक्ष्मि देवी प्राथमिक विद्यालय, आमचोक, इलाम",लक्ष्मि देवी प्रावि आमचोक इलाम,प्रावि,लक्ष्मि देवी,आमचोक इलाम,इलाम,100,आमचोक
144,"महेन्द्रोदय आधारभूत विद्यालय, इलाम",महेन्द्रोदय आवि इलाम,आवि,महेन्द्रोदय,इलाम,इलाम,100,
145,"कालीगण्डकी आधारभूत विद्यालय, तनहुँ",कालीगण्डकी आवि तनहुँँ,आवि,कालीगण्डकी,तनहुँ,तनहुँ,100,
146,"महादेव आधारभूत विद्यालय देवघाट, तनहुँ",महादेव आवि देवघाट तनहुँँ,आवि,महादेव,देवघाट तनहुँ,तनहुँ,100,देवघाट
147,माध्यमिक विधालय उ०मा०वि,मावि मावि,मावि,,,,0,
148,"सुम्बेक नि॰मा॰वि॰, इलाम",सुम्बेक निमावि इलाम,निमावि,सुम्बेक,इलाम,इलाम,100,
149,"सिद्देश्वरी प्रा॰वि॰, बरबोटे, इलाम",सिद्देश्वरी प्रावि बरबोटे इलाम,प्रावि,सिद्देश्वरी,बरबोटे इलाम,इलाम,100,बरबोटे
150,"आदर्श आधारभूत विद्यालय इलाम न॰पा॰, इलाम",आदर्श आवि इलाम न पा इलाम,आवि,आदर्श,इलाम न पा इलाम,इलाम,100,न पा
151,"नारायणी नमूना माध्यमिक विद्यालय, भरतपुर-१०, चितवन",नारायणी नमूना मावि भरतपुर चितवन,मावि,नारायणी नमूना,भरतपुर चितवन,चितवन,100,भरतपुर
152,"जन शिशु कल्याण आधारभूत विद्यालय, तनहुँ",जन शिशु कल्याण आवि तनहुँँ,आवि,जन शिशु कल्याण,तनहुँ,तनहुँ,100,
