school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
1401,ripure,pravi,gulmi,
1402,ruvenai,pravi,gulmi,
1403,kotakota,pravi,syangja,
1404,kotakota,pravi,syangja,
1405,sarasvati vidyamandira,nimavi,bajhang,
1408,hari,pravi,jhapa,
1410,janata,nimavi,jhapa,
1412,vetala,avi,doti,
1413,,nimavi,doti,
1415,te~nacheta,pravi,dhading,
1416,lekali,pravi,makwanpur,
1417,ra,pravi,chitwan,
1418,vindeshvari,avi,chitwan,
1419,sagaramatha janata,pravi,okhaldhunga,
1421,lakshmi,nimavi,sunsari,
1422,shrirama,nimavi,kathmandu,
1423,vetala,avi,doti,
1425,lakshmi,pravi,sunsari,
1432,banedumgra,mavi,doti,
1433,ra,pravi,chitwan,
1434,ra,pravi,chitwan,
1435,rashtriya,pravi,chitwan,
1440,lala,avi,morang,
1444,shukra,nimavi,jhapa,
1446,kapuleshvara,pravi,doti,
1449,suyaudaya,pravi,sankhuwasabha,
1451,amrrita,nimavi,jhapa,
1458,kedareshvara,mavi,doti,
1459,najadurga,pravi,doti,
1460,thakuraji,mavi,saptari,
1461,pashupati,avi,sunsari,
1465,pamchakanya,nimavi,bhojpur,
1467,madi,mavi,myagdi,
1468,mahakali,pravi,taplejung,
1475,siheshavari,mavi,taplejung,
1477,janajyoti,nimavi,jhapa,
1478,khajuragachi,mavi,jhapa,
1479,harihara,nimavi,taplejung,
1480,mashtamadaum,avi,doti,
1482,amaraghatti,nimavi,doti,
1483,shamkara,mavi,dhanusha,
1485,hamphavu~na,pravi,taplejung,
1486,majadura kisana,mavi,sunsari,
1492,maheshvara,pravi,bajhang,
1494,i hi su ji ja,mavi,saptari,
1495,balakalyana,pravi,jhapa,
1497,balakalyana,avi,chitwan,
1499,chandeshvari,nimavi,chitwan,
1500,sarasvati,mavi,chitwan,
1501,dakshinakali rashtiya,pravi,chitwan,
1504,shivaji,pravi,doti,
1505,radha krrishna,mavi,siraha,
1506,harishachandra,nimavi,bajhang,
1507,shri,pravi,sunsari,
1509,chanuka.nda,nimavi,doti,
1512,malika,nimavi,bajhang,
1513,sitarama,mavi,bajhang,
1514,kedara,mavi,kalikot,
1516,shri,pravi,dhankuta,
1522,balmiki,avi,doti,
1524,phakta~nalu~na,avi,taplejung,
1527,amarasimha,mavi,sunsari,
1529,vairani,pravi,jhapa,
1531,mahalakshmi,pravi,doti,
1534,shahida gharmabhakta,mavi,jhapa,
1536,khapapradeva,pravi,bajhang,
1541,bhaja khori,nimavi,bajhang,
1543,khumaju~na,mavi,solukhumbu,
1544,lakshmi,mavi,jhapa,
1551,shri,pravi,jhapa,
1554,kalika,nimavi,jhapa,
1556,skulachauna,mavi,jhapa,
1563,lakshmi,mavi,jhapa,
