school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
5104,32793,janahita,janahit,avi,avi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
5109,17414,yamphudina,yamphudin,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5111,2388,bala mandira,bal mandir,avi,avi,mahottari,mahottari,3.0,"District: complete, School level: complete, Root name: complete"
5113,53526,maharaja,maharaja,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5121,41914,janashrama,janashram,pravi,pravi,lamjung,lamjung,3.0,"District: complete, School level: complete, Root name: complete"
5124,71015,dhaulapura,dhaulpur,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5125,54843,sarasvati,saraswati,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5128,1160,amvegudina,ambegudin,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5130,16825,simhadevi,singhadevi,avi,avi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5133,72633,malikarjuna,malikarjun  mad,mavi,mavi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5135,71648,janajyoti,janajyoti,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5138,61674,kha.nda,khanda,avi,avi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
5140,14183,navadurga,navadurga,pravi,pravi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5141,17051,sunakoshi jana,sunkoshijana,avi,avi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5142,16894,shishu vikasini,sishu bikashini,avi,avi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
5146,7641,bhumiraja,bhumiraj,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5149,15875,shivaduti,shivaduti,avi,avi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5150,13689,mahakali,mahakali,pravi,pravi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5151,12795,janata,janta,avi,avi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5152,54238,paramarthi,paramarthi,avi,avi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
5155,72872,nanda,nand,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5156,74592,udayadeva,uday dev,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5157,62125,narayi,narayani,mavi,mavi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5158,72566,malikarjuna,malika arjun,avi,avi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5159,12206,jaleshvari,jaleshwori,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5163,7426,bhageshvara,bhageshwar,avi,avi,dadeldhura,dadeldhura,3.0,"District: complete, School level: complete, Root name: complete"
5166,31036,vinayaka,binayak,mavi,mavi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
