school_id_B,root_school_name_B,school_level_B,root_school_old_name1_B,root_school_old_name2_B,school_level_old_name2_B,school_level_old_name1_B,district_B,Fuzzy_match_score
146,adarsha  chhathar tehrathum,avi,adarsha  chhathar,adarsha,pravi,avi,tehrathum,
147,adarsha,avi,adarsha,adarsha,avi,avi,ilam,
148,adarsha buddha,avi,adarsha buddha,adrasha buddha,pravi,avi,ilam,
149,adarsha buddha,pravi,,,,,ilam,
150,adarsha ebs,,,,,,sunsari,
151,adarsha english school,,,,,,morang,
152,adarsha janata,pravi,,,,,jhapa,
153,adarsha,mavi,adarsha,,,avi,morang,
154,adarsha,mavi,,,,,jhapa,
155,adarsha,mavi,adarsha,,,mavi,morang,
156,adarsha milan,pravi,,,,,solukhumbu,
157,adarsha namuna english boarding school,,adarsa namuna ebs,,,,jhapa,
158,adarsha niketen english school,,adarsha niketen ebs,,,,ilam,
159,adarsha,pravi,,,,,jhapa,
160,adarsha,pravi,,,,,jhapa,
161,adarsha,pravi,,,,,morang,
162,adarsha,pravi,,,,,morang,
