school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
9078,54817,"सन्तोषीमाता प्रा॰वि॰, गुल्मी",Santoshi Basic School,सन्तोषीमाता प्रावि,गुल्मी,51,Gulmi,5,Lumbini,223,Chandrakot,Chandrakot Rural Municipality
26957,54817,"सन्तोषीमाता प्रा वि, गुल्मी",Santoshi Basic School,सन्तोषीमाता प्रावि,गुल्मी,51,Gulmi,5,Lumbini,223,Chandrakot,Chandrakot Rural Municipality
9084,56187,"सूर्योदय माध्यमिक विद्यालय, वेल्वास, प्यूठान",Suryodaya Pravi,सूर्योदय मावि,प्यूठान,54,Pyuthan,5,Lumbini,533,Dhab,Sarumarani Rural Municipality
9093,55130,"शान्ति नमुना उ॰ माध्यमिक विधालय, रुपन्देही",Shanti Namuna Secondary School,शान्ति नमुना मावि,रुपन्देही,49,Rupandehi,5,Lumbini,609,Tilottama-5,Tilottama Municipality
10434,55130,"शान्ती नमुना उ॰ माध्यमिक विधालय, रुपन्देही",Shanti Namuna Secondary School,शान्ती नमुना मावि,रुपन्देही,49,Rupandehi,5,Lumbini,609,Tilottama-5,Tilottama Municipality
12454,55130,"शान्ति नमुना माध्यमिक विद्यालय तिलोत्तमा, रुपन्देही",Shanti Namuna Secondary School,शान्ति नमुना मावि,रुपन्देही,49,Rupandehi,5,Lumbini,609,Tilottama-5,Tilottama Municipality
9105,54619,"राष्ट्रिय माध्यमिक विद्यालय, गंगादेव, रोल्पा",Rastriya Pra V,राष्ट्रिय मावि,रोल्पा,55,Rolpa,5,Lumbini,567,"Lungri-3, Rolpa",Lungri Rural Municipality
19259,54619,"राष्टिय नि मा बि, रोल्पा",Rastriya Pra V,राष्टिय निमावि,रोल्पा,55,Rolpa,5,Lumbini,567,"Lungri-3, Rolpa",Lungri Rural Municipality
22965,54619,"राष्टिय माध्यमिक विद्यालय, खुमेल, रोल्पा",Rastriya Pra V,राष्टिय मावि,रोल्पा,55,Rolpa,5,Lumbini,567,"Lungri-3, Rolpa",Lungri Rural Municipality
9117,41817,"जनसक्रिय निम्न माध्यमिक विद्यालय, सेखाम, स्याङजा",Jana Sakriya Adharbhut V,जनसक्रिय निमावि,स्याङजा,45,Syangja,4,Gandaki,739,Chapakot,Chapakot Municipality
9119,41895,"जनसेवा माध्यमिक विद्यालय, कालीकाकोट, स्याङजा",Janasewa Basic School,जनसेवा मावि,स्याङजा,45,Syangja,4,Gandaki,737,Foxing,Bhirkot Municipality
26963,41895,"जनसेवा माध्यमिक विद्यालय, डुम्रेभञ्ज्याङ्ग, स्याङ्जा",Janasewa Basic School,जनसेवा मावि,स्याङ्जा,45,Syangja,4,Gandaki,737,Foxing,Bhirkot Municipality
9129,74558,"त्रीपुरा सुन्दरी मा वि, अछाम",Tripura Sundari Basic School,त्रीपुरा सुन्दरी मावि,अछाम,69,Achham,7,Sudurpashchim,3,Khalgada,Chaurpati Rural Municipality
22345,74558,"त्रिपुरासुन्दरी उच्च माध्यमिक विद्यालय, श्रीकोट, अछाम",Tripura Sundari Basic School,त्रिपुरासुन्दरी मावि,अछाम,69,Achham,7,Sudurpashchim,3,Khalgada,Chaurpati Rural Municipality
24059,74558,"त्रिपुरासुन्दरी माध्यमिक विधालय, श्रीकोट अछाम",Tripura Sundari Basic School,त्रिपुरासुन्दरी मावि,अछाम,69,Achham,7,Sudurpashchim,3,Khalgada,Chaurpati Rural Municipality
29045,74558,"त्रिपुरा सुन्दरी माध्यमिक विद्यालय, ढकरी अछाम",Tripura Sundari Basic School,त्रिपुरा सुन्दरी मावि,अछाम,69,Achham,7,Sudurpashchim,3,Khalgada,Chaurpati Rural Municipality
